dataset_id,dataset_label,frame_count,atom_count,variant,display_name,threads,n_points,bitmask_variant,runtime_mean_s,runtime_stddev_s,frames_per_sec,ms_per_frame,atom_frames_per_sec,peak_rss_mean_mib,peak_rss_stddev_mib,frames_per_sec_per_mib,cpu_utilization_proxy,runtime_speedup_vs_mdtraj,rss_reduction_vs_mdtraj,runtime_speedup_vs_mdsasa_bolt,rss_reduction_vs_mdsasa_bolt
5vz0_A_protein,5vz0_A,10001,17910,zsasa_cli_f64,zsasa CLI f64,10,128,,95.99049185620667,0.4497770497761895,104.18740238336785,9.598089376683,1865996.3766861183,92.33333333333333,2.3635276644950305,1.1283834193144533,8.950910381628365,,,26.123496204532263,263.53344990974733
5vz0_A_protein,5vz0_A,10001,17910,zsasa_cli_f32,zsasa CLI f32,10,128,,93.20336649266669,0.02526748545654006,107.3029910436431,9.319404708795789,1921796.5695916482,88.25520833333333,1.777156297349317,1.2158261599515774,8.96758176525482,,,26.904685356768745,275.71088816760107
5vz0_A_protein,5vz0_A,10001,17910,zsasa_cli_bitmask_f64,zsasa CLI bitmask f64,10,128,single_corrected,38.59300711919334,0.07293846709878961,259.14021079290904,3.85891482043729,4641201.1753010005,93.5,0.0,2.771553056608653,8.056269131514242,,,64.97568955775151,260.2451537433155
5vz0_A_protein,5vz0_A,10001,17910,zsasa_cli_bitmask_f32,zsasa CLI bitmask f32,10,128,single_corrected,37.71647468772,0.15798668782275777,265.16264000824543,3.7712703417378264,4749062.882547676,90.53125,0.0,2.9289625406502773,7.9923674599987535,,,66.48572727008457,268.7792544011046
5vz0_A_protein,5vz0_A,10001,17910,mdsasa_bolt,mdsasa-bolt (Rust),,128,,2507.6072496768,29.197464224162754,3.988264111650262,250.7356514025398,71429.81023965619,24332.921875,137.22903254430847,0.00016390403635610498,1.070659052371952,,,1.0,1.0
5wvo_C_analysis,5wvo_C,1001,3858,zsasa_cli_f64,zsasa CLI f64,10,128,,2.09264978054,0.00586399898684691,478.3409098400096,2.0905592213186814,1845439.230162757,24.338541666666668,0.018042195912175804,19.653638923449996,7.990015240718105,12.497173651922871,6.553819815964048,2.1552886023907347,57.965546757971325
5wvo_C_analysis,5wvo_C,1001,3858,zsasa_cli_f32,zsasa CLI f32,10,128,,2.022233088113334,0.01519092983868733,494.997340259077,2.0202128752380957,1909699.738719519,24.34375,0.0,20.333651974698927,8.054316832089718,12.93234091252343,6.552417629439452,2.2303384547036753,57.95314505776637
5wvo_C_analysis,5wvo_C,1001,3858,zsasa_cli_bitmask_f64,zsasa CLI bitmask f64,10,128,single_corrected,0.8325563758066666,0.002020764592054283,1202.320982804471,0.8317246511555112,4638554.351659649,24.291666666666668,0.04510548978043952,49.49520340876038,6.8840463419431535,31.411936128322488,6.5664665523156085,5.417367942709374,58.07740137221269
5wvo_C_analysis,5wvo_C,1001,3858,zsasa_cli_bitmask_f32,zsasa CLI bitmask f32,10,128,single_corrected,0.8135851485400001,0.002519575880572547,1230.3567755585518,0.8127723761638362,4746716.440104893,24.359375,0.0,50.50855268489244,6.898574959738697,32.1444015380535,6.548214667521916,5.543690453159232,57.91597177677999
5wvo_C_analysis,5wvo_C,1001,3858,zsasa_mdtraj,zsasa + MDTraj,10,128,,1.9720199861466667,0.035747793175597564,507.601346351442,1.9700499362104562,1958325.9942238631,211.3125,0.0,2.4021359188474034,8.611512435285384,13.261634204411974,0.7548555654145715,2.28712906181362,6.676353149955634
5wvo_C_analysis,5wvo_C,1001,3858,zsasa_mdtraj_bitmask,zsasa + MDTraj bitmask,10,128,,0.8521957523666668,0.03658548470017582,1174.6127544288775,0.851344407958708,4531656.006586609,212.8125,0.0,5.519472561192963,6.953285693899813,30.688028692279122,0.7495349975526187,5.292521358229843,6.629295154185022
5wvo_C_analysis,5wvo_C,1001,3858,zsasa_mdanalysis,zsasa + MDAnalysis,10,128,,2.3524688855133338,0.003881772547456201,425.51041000551686,2.350118766746587,1641619.1618012842,193.078125,0.0,2.203825057890514,7.17917665309086,11.116919701303498,0.8261444255617598,1.9172471306922925,7.306870599660112
5wvo_C_analysis,5wvo_C,1001,3858,zsasa_mdanalysis_bitmask,zsasa + MDAnalysis bitmask,10,128,,1.2259796220999999,0.03696015498356489,816.4899170879947,1.224754867232767,3150018.1001254837,195.234375,0.0,4.182101215976924,4.932850115111226,21.331682214480967,0.8170201413898892,3.678906353327171,7.2261704681872745
5wvo_C_analysis,5wvo_C,1001,3858,mdtraj,MDTraj,,128,,26.152207700066665,0.014076950462182401,38.27592727467702,26.126081618448218,147668.52742570394,159.51041666666666,0.1301041249666333,0.239958794381832,0.9997458791952526,1.0,1.0,0.17246208322144202,8.844543851629336
5wvo_C_analysis,5wvo_C,1001,3858,mdsasa_bolt,mdsasa-bolt (Rust),,128,,4.510264220793334,0.02370680290751923,221.9382171415068,4.505758462331003,856237.6417319332,1410.796875,0.0,0.15731408332011426,4.1799008181721575,5.79837597529189,0.11306405584905102,1.0,1.0
6sup_A_analysis,6sup_A,1001,33377,zsasa_cli_f64,zsasa CLI f64,10,128,,17.527618691673332,0.06158000730560047,57.10986857989642,17.51010858309024,1906156.0835912027,152.8125,0.0,0.3737251113612854,9.181708632014743,53.770315218099434,6.559509202453988,3.340625355522079,75.90010224948875
6sup_A_analysis,6sup_A,1001,33377,zsasa_cli_f32,zsasa CLI f32,10,128,,16.983289850086667,0.02229959743146006,58.94028829725778,16.96632352656011,1967250.002497573,138.375,1.3261013995449218,0.4259460762222784,9.164157175700117,55.49369941826183,7.2439024390243905,3.4476952310289786,83.81921860885275
6sup_A_analysis,6sup_A,1001,33377,zsasa_cli_bitmask_f64,zsasa CLI bitmask f64,10,128,single_corrected,6.953714686840001,0.015992648408783623,143.95183654779598,6.946767918921079,4804680.448455786,154.6875,0.0,0.930597731218075,8.438800290592106,135.53411730532395,6.48,8.420421323028885,74.98010101010101
6sup_A_analysis,6sup_A,1001,33377,zsasa_cli_bitmask_f32,zsasa CLI bitmask f32,10,128,single_corrected,6.788052303993333,0.010822948450667703,147.4649804055168,6.7812710329603725,4921938.650994934,149.45833333333334,3.373890635576876,0.9866628184366889,8.426257176355454,138.84182676663892,6.706718706439921,8.62592166369733,77.6034638974073
6sup_A_analysis,6sup_A,1001,33377,zsasa_mdtraj,zsasa + MDTraj,10,128,,17.508019264180003,0.07634576168481233,57.173800467992706,17.490528735444556,1908289.9382201927,1359.6666666666667,4.970624973804434,0.0420498655072268,9.146464212599973,53.83050862881647,0.7372211326305467,3.3443650329493186,8.530388115959793
6sup_A_analysis,6sup_A,1001,33377,zsasa_mdtraj_bitmask,zsasa + MDTraj bitmask,10,128,,6.8103315619933324,0.05694363683672382,146.98256478235473,6.803528033959373,4905837.064740653,1370.734375,0.0,0.10722906455333822,8.361077855755223,138.3876208514691,0.7312685946173926,8.597702900413351,8.461511279309677
6sup_A_analysis,6sup_A,1001,33377,zsasa_mdanalysis,zsasa + MDAnalysis,10,128,,17.847760278060004,0.06668624720613972,56.08546867533373,17.829930347712292,1871964.6879766139,974.6145833333334,4.64586544738527,0.057546305621154065,8.78845924360336,52.80581806292446,1.0284834817182005,3.280703377403902,11.900585701612817
6sup_A_analysis,6sup_A,1001,33377,zsasa_mdanalysis_bitmask,zsasa + MDAnalysis bitmask,10,128,,7.273887484020001,0.006613689153431113,137.6155463222515,7.266620863156844,4593194.089597789,976.25,0.0,0.1409634277308594,7.6324635616511936,129.56834761940277,1.0267605633802817,8.049781846634577,11.880649807938541
6sup_A_analysis,6sup_A,1001,33377,mdtraj,MDTraj,,128,,942.4655820739266,0.3572419908476088,1.0621077512425086,941.5240580159107,35449.97041322121,1002.375,0.0,0.0010595912220900446,0.9999318520253525,1.0,1.0,0.06212768777664898,11.571003242299538
6sup_A_analysis,6sup_A,1001,33377,mdsasa_bolt,mdsasa-bolt (Rust),,128,,58.55320742332666,0.17522270525545133,17.09556220828336,58.49471271061604,570598.5798258737,11598.484375,42.84119419346145,0.0014739479448825279,3.3252460316819423,16.095883104406393,0.08642292972007388,1.0,1.0
