context,benchmark_kind,dataset_id,dataset_label,structure_id,target_variant,target_display_name,comparator_variant,comparator_display_name,metric,ratio,target_value,comparator_value,interpretation
batch:UP000000625_83333_ECOLI_v6_pdb:t10,batch,UP000000625_83333_ECOLI_v6_pdb,E. coli AFDB,,zsasa_bitmask_f32,zsasa bitmask f32,rustsasa,RustSASA,runtime_speedup,3.895843077520778,1.4808608920266668,5.769201654973334,higher means target is faster
batch:UP000000625_83333_ECOLI_v6_pdb:t10,batch,UP000000625_83333_ECOLI_v6_pdb,E. coli AFDB,,zsasa_bitmask_f32,zsasa bitmask f32,rustsasa,RustSASA,rss_reduction,3.7832871012482663,45.0625,170.484375,higher means target uses less memory
batch:UP000000625_83333_ECOLI_v6_pdb:t10,batch,UP000000625_83333_ECOLI_v6_pdb,E. coli AFDB,,zsasa_bitmask_f32,zsasa bitmask f32,lahuta_bitmask,Lahuta bitmask,runtime_speedup,1.3737463368909288,1.4808608920266668,2.034327225866667,higher means target is faster
batch:UP000000625_83333_ECOLI_v6_pdb:t10,batch,UP000000625_83333_ECOLI_v6_pdb,E. coli AFDB,,zsasa_bitmask_f32,zsasa bitmask f32,lahuta_bitmask,Lahuta bitmask,rss_reduction,4.010748959778086,45.0625,180.734375,higher means target uses less memory
batch:UP000005640_9606_HUMAN_v6_pdb:t10,batch,UP000005640_9606_HUMAN_v6_pdb,Human AFDB,,zsasa_f64,zsasa f64,freesasa_batch,FreeSASA batch,runtime_speedup,2.9436523610051504,45.50808386158667,133.95997850397998,higher means target is faster
batch:UP000005640_9606_HUMAN_v6_pdb:t10,batch,UP000005640_9606_HUMAN_v6_pdb,Human AFDB,,zsasa_f64,zsasa f64,freesasa_batch,FreeSASA batch,rss_reduction,7.62156006832416,82.328125,627.46875,higher means target uses less memory
batch:UP000005640_9606_HUMAN_v6_pdb:t10,batch,UP000005640_9606_HUMAN_v6_pdb,Human AFDB,,zsasa_f64,zsasa f64,rustsasa,RustSASA,runtime_speedup,1.4839417368794812,45.50808386158667,67.53134500762,higher means target is faster
batch:UP000005640_9606_HUMAN_v6_pdb:t10,batch,UP000005640_9606_HUMAN_v6_pdb,Human AFDB,,zsasa_f64,zsasa f64,rustsasa,RustSASA,rss_reduction,4.007781362687417,82.328125,329.953125,higher means target uses less memory
batch:UP000005640_9606_HUMAN_v6_pdb:t10,batch,UP000005640_9606_HUMAN_v6_pdb,Human AFDB,,zsasa_f64,zsasa f64,lahuta_bitmask,Lahuta bitmask,runtime_speedup,0.42995393170653706,45.50808386158667,19.566379580719996,higher means target is faster
batch:UP000005640_9606_HUMAN_v6_pdb:t10,batch,UP000005640_9606_HUMAN_v6_pdb,Human AFDB,,zsasa_f64,zsasa f64,lahuta_bitmask,Lahuta bitmask,rss_reduction,3.9711520212564055,82.328125,326.9375,higher means target uses less memory
batch:UP000005640_9606_HUMAN_v6_pdb:t10,batch,UP000005640_9606_HUMAN_v6_pdb,Human AFDB,,zsasa_f32,zsasa f32,freesasa_batch,FreeSASA batch,runtime_speedup,3.0203894154045177,44.35188979962667,133.95997850397998,higher means target is faster
batch:UP000005640_9606_HUMAN_v6_pdb:t10,batch,UP000005640_9606_HUMAN_v6_pdb,Human AFDB,,zsasa_f32,zsasa f32,freesasa_batch,FreeSASA batch,rss_reduction,8.210590881210386,76.421875,627.46875,higher means target uses less memory
batch:UP000005640_9606_HUMAN_v6_pdb:t10,batch,UP000005640_9606_HUMAN_v6_pdb,Human AFDB,,zsasa_f32,zsasa f32,rustsasa,RustSASA,runtime_speedup,1.5226261003243304,44.35188979962667,67.53134500762,higher means target is faster
batch:UP000005640_9606_HUMAN_v6_pdb:t10,batch,UP000005640_9606_HUMAN_v6_pdb,Human AFDB,,zsasa_f32,zsasa f32,rustsasa,RustSASA,rss_reduction,4.317521979145369,76.421875,329.953125,higher means target uses less memory
batch:UP000005640_9606_HUMAN_v6_pdb:t10,batch,UP000005640_9606_HUMAN_v6_pdb,Human AFDB,,zsasa_f32,zsasa f32,lahuta_bitmask,Lahuta bitmask,runtime_speedup,0.4411622519156939,44.35188979962667,19.566379580719996,higher means target is faster
batch:UP000005640_9606_HUMAN_v6_pdb:t10,batch,UP000005640_9606_HUMAN_v6_pdb,Human AFDB,,zsasa_f32,zsasa f32,lahuta_bitmask,Lahuta bitmask,rss_reduction,4.2780617460642,76.421875,326.9375,higher means target uses less memory
batch:UP000005640_9606_HUMAN_v6_pdb:t10,batch,UP000005640_9606_HUMAN_v6_pdb,Human AFDB,,zsasa_bitmask_f64,zsasa bitmask f64,freesasa_batch,FreeSASA batch,runtime_speedup,9.466897434658623,14.1503570128,133.95997850397998,higher means target is faster
batch:UP000005640_9606_HUMAN_v6_pdb:t10,batch,UP000005640_9606_HUMAN_v6_pdb,Human AFDB,,zsasa_bitmask_f64,zsasa bitmask f64,freesasa_batch,FreeSASA batch,rss_reduction,7.493562231759657,83.734375,627.46875,higher means target uses less memory
batch:UP000005640_9606_HUMAN_v6_pdb:t10,batch,UP000005640_9606_HUMAN_v6_pdb,Human AFDB,,zsasa_bitmask_f64,zsasa bitmask f64,rustsasa,RustSASA,runtime_speedup,4.772412805311776,14.1503570128,67.53134500762,higher means target is faster
batch:UP000005640_9606_HUMAN_v6_pdb:t10,batch,UP000005640_9606_HUMAN_v6_pdb,Human AFDB,,zsasa_bitmask_f64,zsasa bitmask f64,rustsasa,RustSASA,rss_reduction,3.9404739690240715,83.734375,329.953125,higher means target uses less memory
batch:UP000005640_9606_HUMAN_v6_pdb:t10,batch,UP000005640_9606_HUMAN_v6_pdb,Human AFDB,,zsasa_bitmask_f64,zsasa bitmask f64,lahuta_bitmask,Lahuta bitmask,runtime_speedup,1.38274812169197,14.1503570128,19.566379580719996,higher means target is faster
batch:UP000005640_9606_HUMAN_v6_pdb:t10,batch,UP000005640_9606_HUMAN_v6_pdb,Human AFDB,,zsasa_bitmask_f64,zsasa bitmask f64,lahuta_bitmask,Lahuta bitmask,rss_reduction,3.904459787273745,83.734375,326.9375,higher means target uses less memory
batch:UP000005640_9606_HUMAN_v6_pdb:t10,batch,UP000005640_9606_HUMAN_v6_pdb,Human AFDB,,zsasa_bitmask_f32,zsasa bitmask f32,freesasa_batch,FreeSASA batch,runtime_speedup,9.69724502948012,13.814230546586666,133.95997850397998,higher means target is faster
batch:UP000005640_9606_HUMAN_v6_pdb:t10,batch,UP000005640_9606_HUMAN_v6_pdb,Human AFDB,,zsasa_bitmask_f32,zsasa bitmask f32,freesasa_batch,FreeSASA batch,rss_reduction,7.896309890542046,79.46354166666667,627.46875,higher means target uses less memory
batch:UP000005640_9606_HUMAN_v6_pdb:t10,batch,UP000005640_9606_HUMAN_v6_pdb,Human AFDB,,zsasa_bitmask_f32,zsasa bitmask f32,rustsasa,RustSASA,runtime_speedup,4.8885346729866335,13.814230546586666,67.53134500762,higher means target is faster
batch:UP000005640_9606_HUMAN_v6_pdb:t10,batch,UP000005640_9606_HUMAN_v6_pdb,Human AFDB,,zsasa_bitmask_f32,zsasa bitmask f32,rustsasa,RustSASA,rss_reduction,4.1522579799436325,79.46354166666667,329.953125,higher means target uses less memory
batch:UP000005640_9606_HUMAN_v6_pdb:t10,batch,UP000005640_9606_HUMAN_v6_pdb,Human AFDB,,zsasa_bitmask_f32,zsasa bitmask f32,lahuta_bitmask,Lahuta bitmask,runtime_speedup,1.4163930097108897,13.814230546586666,19.566379580719996,higher means target is faster
batch:UP000005640_9606_HUMAN_v6_pdb:t10,batch,UP000005640_9606_HUMAN_v6_pdb,Human AFDB,,zsasa_bitmask_f32,zsasa bitmask f32,lahuta_bitmask,Lahuta bitmask,rss_reduction,4.114308186406239,79.46354166666667,326.9375,higher means target uses less memory
single_file:3jc8:t10,single_file,single_file_large_structure_subset,single_file_large_structure_subset,3jc8,zsasa_f64,zsasa f64,freesasa,FreeSASA,runtime_speedup,2.8120788765020746,0.07908081041333334,0.22238147649999998,higher means target is faster
single_file:3jc8:t10,single_file,single_file_large_structure_subset,single_file_large_structure_subset,3jc8,zsasa_f64,zsasa f64,freesasa,FreeSASA,rss_reduction,11.883340327318505,37.234375,442.46875,higher means target uses less memory
single_file:3jc8:t10,single_file,single_file_large_structure_subset,single_file_large_structure_subset,3jc8,zsasa_f64,zsasa f64,rustsasa,RustSASA,runtime_speedup,1.974687428599461,0.07908081041333334,0.15615988216666668,higher means target is faster
single_file:3jc8:t10,single_file,single_file_large_structure_subset,single_file_large_structure_subset,3jc8,zsasa_f64,zsasa f64,rustsasa,RustSASA,rss_reduction,3.5694502727654216,37.234375,132.90625,higher means target uses less memory
single_file:3jc8:t10,single_file,single_file_large_structure_subset,single_file_large_structure_subset,3jc8,zsasa_f32,zsasa f32,freesasa,FreeSASA,runtime_speedup,2.7919987701011104,0.07964956105333333,0.22238147649999998,higher means target is faster
single_file:3jc8:t10,single_file,single_file_large_structure_subset,single_file_large_structure_subset,3jc8,zsasa_f32,zsasa f32,freesasa,FreeSASA,rss_reduction,11.626385657588614,38.057291666666664,442.46875,higher means target uses less memory
single_file:3jc8:t10,single_file,single_file_large_structure_subset,single_file_large_structure_subset,3jc8,zsasa_f32,zsasa f32,rustsasa,RustSASA,runtime_speedup,1.9605868519740122,0.07964956105333333,0.15615988216666668,higher means target is faster
single_file:3jc8:t10,single_file,single_file_large_structure_subset,single_file_large_structure_subset,3jc8,zsasa_f32,zsasa f32,rustsasa,RustSASA,rss_reduction,3.4922676885178596,38.057291666666664,132.90625,higher means target uses less memory
single_file:3jc8:t10,single_file,single_file_large_structure_subset,single_file_large_structure_subset,3jc8,zsasa_bitmask_f64,zsasa bitmask f64,freesasa,FreeSASA,runtime_speedup,3.058541734596693,0.07270833482000001,0.22238147649999998,higher means target is faster
single_file:3jc8:t10,single_file,single_file_large_structure_subset,single_file_large_structure_subset,3jc8,zsasa_bitmask_f64,zsasa bitmask f64,freesasa,FreeSASA,rss_reduction,11.12254516889238,39.78125,442.46875,higher means target uses less memory
single_file:3jc8:t10,single_file,single_file_large_structure_subset,single_file_large_structure_subset,3jc8,zsasa_bitmask_f64,zsasa bitmask f64,rustsasa,RustSASA,runtime_speedup,2.147757647775362,0.07270833482000001,0.15615988216666668,higher means target is faster
single_file:3jc8:t10,single_file,single_file_large_structure_subset,single_file_large_structure_subset,3jc8,zsasa_bitmask_f64,zsasa bitmask f64,rustsasa,RustSASA,rss_reduction,3.3409269442262373,39.78125,132.90625,higher means target uses less memory
single_file:3jc8:t10,single_file,single_file_large_structure_subset,single_file_large_structure_subset,3jc8,zsasa_bitmask_f32,zsasa bitmask f32,freesasa,FreeSASA,runtime_speedup,3.0970260351466408,0.07180484567333334,0.22238147649999998,higher means target is faster
single_file:3jc8:t10,single_file,single_file_large_structure_subset,single_file_large_structure_subset,3jc8,zsasa_bitmask_f32,zsasa bitmask f32,freesasa,FreeSASA,rss_reduction,11.620024620434961,38.078125,442.46875,higher means target uses less memory
single_file:3jc8:t10,single_file,single_file_large_structure_subset,single_file_large_structure_subset,3jc8,zsasa_bitmask_f32,zsasa bitmask f32,rustsasa,RustSASA,runtime_speedup,2.1747819482419812,0.07180484567333334,0.15615988216666668,higher means target is faster
single_file:3jc8:t10,single_file,single_file_large_structure_subset,single_file_large_structure_subset,3jc8,zsasa_bitmask_f32,zsasa bitmask f32,rustsasa,RustSASA,rss_reduction,3.490356996306935,38.078125,132.90625,higher means target uses less memory
single_file:5vyc:t10,single_file,single_file_large_structure_subset,single_file_large_structure_subset,5vyc,zsasa_f64,zsasa f64,freesasa,FreeSASA,runtime_speedup,2.2649867817253164,0.23771835899333335,0.5384289408933335,higher means target is faster
single_file:5vyc:t10,single_file,single_file_large_structure_subset,single_file_large_structure_subset,5vyc,zsasa_f64,zsasa f64,freesasa,FreeSASA,rss_reduction,10.389704695820559,96.828125,1006.015625,higher means target uses less memory
single_file:5vyc:t10,single_file,single_file_large_structure_subset,single_file_large_structure_subset,5vyc,zsasa_f64,zsasa f64,rustsasa,RustSASA,runtime_speedup,52.29040621514893,0.23771835899333335,12.430389556560002,higher means target is faster
single_file:5vyc:t10,single_file,single_file_large_structure_subset,single_file_large_structure_subset,5vyc,zsasa_f64,zsasa f64,rustsasa,RustSASA,rss_reduction,3.002904631273197,96.828125,290.765625,higher means target uses less memory
single_file:5vyc:t10,single_file,single_file_large_structure_subset,single_file_large_structure_subset,5vyc,zsasa_f32,zsasa f32,freesasa,FreeSASA,runtime_speedup,2.2883451580175156,0.23529183917333338,0.5384289408933335,higher means target is faster
single_file:5vyc:t10,single_file,single_file_large_structure_subset,single_file_large_structure_subset,5vyc,zsasa_f32,zsasa f32,freesasa,FreeSASA,rss_reduction,10.745160213618158,93.625,1006.015625,higher means target uses less memory
single_file:5vyc:t10,single_file,single_file_large_structure_subset,single_file_large_structure_subset,5vyc,zsasa_f32,zsasa f32,rustsasa,RustSASA,runtime_speedup,52.829667192166646,0.23529183917333338,12.430389556560002,higher means target is faster
single_file:5vyc:t10,single_file,single_file_large_structure_subset,single_file_large_structure_subset,5vyc,zsasa_f32,zsasa f32,rustsasa,RustSASA,rss_reduction,3.10564085447263,93.625,290.765625,higher means target uses less memory
single_file:5vyc:t10,single_file,single_file_large_structure_subset,single_file_large_structure_subset,5vyc,zsasa_bitmask_f64,zsasa bitmask f64,freesasa,FreeSASA,runtime_speedup,2.729513318085195,0.1972618845,0.5384289408933335,higher means target is faster
