run_id,benchmark_kind,dataset_id,dataset_label,dataset_role,variant,display_name,tool_id,algorithm,precision,mode,threads,n_points,n_slices,source_kind,source_path,manifest_id,status,expected_count,structure_id,structure_role,n_atoms,expected_chains,frame_count,runtime_mean_s,runtime_stddev_s,runtime_min_s,runtime_median_s,runtime_max_s,runtime_run_1_s,runtime_run_2_s,runtime_run_3_s,peak_rss_mean_mib,peak_rss_stddev_mib,peak_rss_min_mib,peak_rss_median_mib,peak_rss_max_mib,user_time_mean_s,system_time_mean_s,parse_time_ms,sasa_time_ms,total_time_ms,item_count,item_unit,items_per_sec,ms_per_item,atoms_per_sec,atom_frames_per_sec,items_per_sec_per_mib,cpu_utilization_proxy
v0_6_0_full_batch_UP000000625_83333_ECOLI_v6_pdb_lahuta_standard_8t_128p_cf40f7981420,batch,UP000000625_83333_ECOLI_v6_pdb,E. coli AFDB,batch-throughput,lahuta,Lahuta,lahuta,sr,f64,standard,8,128,,full_rerun,/Users/nagaet/ghq/github.com/N283T/zsasa-benchmarks/results/full_rerun/v0_6_0_full/batch/ecoli/hyperfine/lahuta_standard_8t_128p.json,batch-ecoli-full-rerun,imported,4370,,,,,,8.17404962284,0.03770664290435403,8.13303790084,8.18189373384,8.20721723384,8.13303790084,8.20721723384,8.18189373384,169.17708333333334,0.640497954882241,168.4375,169.546875,169.546875,62.72292584666666,1.0538373066666666,,,,4370,structures,534.6187265354138,1.8704919045400457,,,3.1601131548180357,7.802345972445255
v0_6_0_full_batch_UP000000625_83333_ECOLI_v6_pdb_lahuta_standard_10t_128p_3fd6bfdb64e1,batch,UP000000625_83333_ECOLI_v6_pdb,E. coli AFDB,batch-throughput,lahuta,Lahuta,lahuta,sr,f64,standard,10,128,,full_rerun,/Users/nagaet/ghq/github.com/N283T/zsasa-benchmarks/results/full_rerun/v0_6_0_full/batch/ecoli/hyperfine/lahuta_standard_10t_128p.json,batch-ecoli-full-rerun,imported,4370,,,,,,7.573436407133333,0.1938044696847842,7.3538285458,7.6459648378,7.7205158378,7.6459648378,7.3538285458,7.7205158378,192.19270833333334,6.215536491744565,185.015625,195.78125,195.78125,64.75211245999999,0.9969666533333333,,,,4370,structures,577.0167946328759,1.733051809412662,,,3.0022824468039393,8.681538416484889
v0_6_0_full_batch_UP000000625_83333_ECOLI_v6_pdb_rustsasa_1t_128p_af62dec237ba,batch,UP000000625_83333_ECOLI_v6_pdb,E. coli AFDB,batch-throughput,rustsasa,RustSASA,rustsasa,sr,f64,standard,1,128,,full_rerun,/Users/nagaet/ghq/github.com/N283T/zsasa-benchmarks/results/full_rerun/v0_6_0_full/batch/ecoli/hyperfine/rustsasa_1t_128p.json,batch-ecoli-full-rerun,imported,4370,,,,,,30.285146220806666,0.11990190801379784,30.147783929139997,30.338821762139997,30.368832971139998,30.368832971139998,30.147783929139997,30.338821762139997,38.8125,0.0,38.8125,38.8125,38.8125,25.76813445333333,0.5714475066666667,,,,4370,structures,144.29515935431405,6.9302394097955755,,,3.717749677405837,0.8697194911313993
v0_6_0_full_batch_UP000000625_83333_ECOLI_v6_pdb_rustsasa_4t_128p_729048be971a,batch,UP000000625_83333_ECOLI_v6_pdb,E. coli AFDB,batch-throughput,rustsasa,RustSASA,rustsasa,sr,f64,standard,4,128,,full_rerun,/Users/nagaet/ghq/github.com/N283T/zsasa-benchmarks/results/full_rerun/v0_6_0_full/batch/ecoli/hyperfine/rustsasa_4t_128p.json,batch-ecoli-full-rerun,imported,4370,,,,,,7.946770884666666,0.22833569811896504,7.760306426,7.878570635,8.201435593,8.201435593,7.878570635,7.760306426,85.46875,0.0,85.46875,85.46875,85.46875,27.752083119999998,0.6190242866666666,,,,4370,structures,549.9088955026924,1.818483039969489,,,6.4340346091722695,3.5701428691506454
v0_6_0_full_batch_UP000000625_83333_ECOLI_v6_pdb_rustsasa_8t_128p_f6497135fc71,batch,UP000000625_83333_ECOLI_v6_pdb,E. coli AFDB,batch-throughput,rustsasa,RustSASA,rustsasa,sr,f64,standard,8,128,,full_rerun,/Users/nagaet/ghq/github.com/N283T/zsasa-benchmarks/results/full_rerun/v0_6_0_full/batch/ecoli/hyperfine/rustsasa_8t_128p.json,batch-ecoli-full-rerun,imported,4370,,,,,,5.981138994306666,0.08281846114681281,5.88894763264,6.00522417464,6.04924517564,6.04924517564,5.88894763264,6.00522417464,141.984375,0.0,141.984375,141.984375,141.984375,36.66598217333333,1.31717978,,,,4370,structures,730.6300696505667,1.368681692061022,,,5.145848405154206,6.35048976281755
v0_6_0_full_batch_UP000000625_83333_ECOLI_v6_pdb_rustsasa_10t_128p_9f09e3f5bf69,batch,UP000000625_83333_ECOLI_v6_pdb,E. coli AFDB,batch-throughput,rustsasa,RustSASA,rustsasa,sr,f64,standard,10,128,,full_rerun,/Users/nagaet/ghq/github.com/N283T/zsasa-benchmarks/results/full_rerun/v0_6_0_full/batch/ecoli/hyperfine/rustsasa_10t_128p.json,batch-ecoli-full-rerun,imported,4370,,,,,,5.712827792033334,0.11875142803515747,5.6033216667,5.6961091257000005,5.8390525837,5.8390525837,5.6033216667,5.6961091257000005,170.05208333333334,1.107319104395085,168.828125,170.34375,170.984375,37.574383559999994,1.3093135666666667,,,,4370,structures,764.9451653512228,1.307283247604882,,,4.498299287823423,6.8063835533237755
v0_6_0_full_batch_UP000000625_83333_ECOLI_v6_pdb_zsasa_batch_f32_bitmask_1t_128p_2048ce75713b,batch,UP000000625_83333_ECOLI_v6_pdb,E. coli AFDB,batch-throughput,zsasa_bitmask_f32,zsasa bitmask f32,zsasa,sr,f32,bitmask,1,128,,full_rerun,/Users/nagaet/ghq/github.com/N283T/zsasa-benchmarks/results/full_rerun/v0_6_0_full/batch/ecoli/hyperfine/zsasa_batch_f32_bitmask_1t_128p.json,batch-ecoli-full-rerun,imported,4370,,,,,,10.054128182453331,0.018530291944962005,10.035601308119999,10.054121349119999,10.07266189012,10.07266189012,10.035601308119999,10.054121349119999,12.265625,0.0,12.265625,12.265625,12.265625,8.77595908,0.2095199933333333,,,,4370,structures,434.64733298572946,2.3007158312250184,,,35.43621568291297,0.8937104152913998
v0_6_0_full_batch_UP000000625_83333_ECOLI_v6_pdb_zsasa_batch_f32_bitmask_4t_128p_c58bac5e6080,batch,UP000000625_83333_ECOLI_v6_pdb,E. coli AFDB,batch-throughput,zsasa_bitmask_f32,zsasa bitmask f32,zsasa,sr,f32,bitmask,4,128,,full_rerun,/Users/nagaet/ghq/github.com/N283T/zsasa-benchmarks/results/full_rerun/v0_6_0_full/batch/ecoli/hyperfine/zsasa_batch_f32_bitmask_4t_128p.json,batch-ecoli-full-rerun,imported,4370,,,,,,2.6077328611933335,0.01186799269232405,2.59561212486,2.60825562486,2.61933083386,2.60825562486,2.61933083386,2.59561212486,24.59375,0.0,24.59375,24.59375,24.59375,9.058703746666668,0.19069659333333333,,,,4370,structures,1675.7851484834339,0.5967352085110603,,,68.13865915053353,3.5469125222310356
v0_6_0_full_batch_UP000000625_83333_ECOLI_v6_pdb_zsasa_batch_f32_bitmask_8t_128p_19111f925326,batch,UP000000625_83333_ECOLI_v6_pdb,E. coli AFDB,batch-throughput,zsasa_bitmask_f32,zsasa bitmask f32,zsasa,sr,f32,bitmask,8,128,,full_rerun,/Users/nagaet/ghq/github.com/N283T/zsasa-benchmarks/results/full_rerun/v0_6_0_full/batch/ecoli/hyperfine/zsasa_batch_f32_bitmask_8t_128p.json,batch-ecoli-full-rerun,imported,4370,,,,,,1.6452028595133334,0.021804096552730797,1.6202331791800002,1.65489397018,1.66048142918,1.66048142918,1.65489397018,1.6202331791800002,39.71875,0.0,39.71875,39.71875,39.71875,11.677116753333332,0.36447023333333334,,,,4370,structures,2656.2073939579022,0.376476626890923,,,66.87540252293695,7.319211072991133
v0_6_0_full_batch_UP000000625_83333_ECOLI_v6_pdb_zsasa_batch_f32_bitmask_10t_128p_f08f343ec402,batch,UP000000625_83333_ECOLI_v6_pdb,E. coli AFDB,batch-throughput,zsasa_bitmask_f32,zsasa bitmask f32,zsasa,sr,f32,bitmask,10,128,,full_rerun,/Users/nagaet/ghq/github.com/N283T/zsasa-benchmarks/results/full_rerun/v0_6_0_full/batch/ecoli/hyperfine/zsasa_batch_f32_bitmask_10t_128p.json,batch-ecoli-full-rerun,imported,4370,,,,,,1.4408479369,0.02615693478806373,1.4156180339,1.4390832419,1.4678425349,1.4678425349,1.4156180339,1.4390832419,45.84375,0.0,45.84375,45.84375,45.84375,12.56648962,0.3403870066666666,,,,4370,structures,3032.936292640362,0.3297134867048055,,,66.15811953953073,8.957833992139346
