dataset_id,dataset_label,variant,display_name,expected_count,threads,runtime_mean_s,runtime_stddev_s,throughput_structures_per_sec,ms_per_structure,peak_rss_mean_mib,peak_rss_stddev_mib,throughput_per_mib,cpu_utilization_proxy,runtime_speedup_vs_freesasa,rss_reduction_vs_freesasa,runtime_speedup_vs_rustsasa,rss_reduction_vs_rustsasa,runtime_speedup_vs_lahuta_bitmask,rss_reduction_vs_lahuta_bitmask
UP000000625_83333_ECOLI_v6_pdb,E. coli AFDB,zsasa_0_9_0_f64,zsasa 0.9.0 f64,4370,10,4.2583071347066666,0.01805878195027763,1026.2294056675712,0.9744409919237222,47.859375,0.0,21.442599400171257,9.524361267753838,3.0548332922278556,4.433561867450212,1.3415725102287301,3.5531613886168247,0.5297330084737351,3.8070519098922624
UP000000625_83333_ECOLI_v6_pdb,E. coli AFDB,zsasa_0_9_0_f32,zsasa 0.9.0 f32,4370,10,4.227825739433333,0.02661473726804034,1033.6282215325466,0.9674658442639207,44.8125,0.0,23.065622795705362,9.557700199523683,3.076857752745714,4.735006973500697,1.3512448582611258,3.794746629474663,0.5335522295617793,4.065899581589958
UP000000625_83333_ECOLI_v6_pdb,E. coli AFDB,zsasa_0_9_0_bitmask_f64,zsasa 0.9.0 bitmask f64,4370,10,1.4850624615533334,0.006315466965264851,2942.6371705800866,0.3398312269000763,50.203125,0.0,58.61462151171041,8.896464457695261,8.75950927345298,4.226579520697168,3.8468602768787767,3.3872808382612307,1.5189703516671385,3.6293183940242764
UP000000625_83333_ECOLI_v6_pdb,E. coli AFDB,zsasa_0_9_0_bitmask_f32,zsasa 0.9.0 bitmask f32,4370,10,1.4454485356,0.029641288456190955,3023.2830103397837,0.3307662552860412,47.354166666666664,0.7352609903689529,63.844075889269526,8.967316234901169,8.999572162722204,4.480862296524418,3.952287232185656,3.591069071711395,1.5605992146492949,3.8476682798064235
UP000000625_83333_ECOLI_v6_pdb,E. coli AFDB,freesasa_batch,FreeSASA batch,4370,10,13.008418403633334,0.06227552664513367,335.93630404595774,2.9767547834401222,212.1875,7.280026050562937,1.5832049675214503,7.590594757142356,1.0,1.0,0.43916390254158066,0.8014236622484046,0.173408156124751,0.8586892488954344
UP000000625_83333_ECOLI_v6_pdb,E. coli AFDB,rustsasa,RustSASA,4370,10,5.712827792033334,0.11875142803515747,764.9451653512228,1.307283247604882,170.05208333333334,1.107319104395085,4.498299287823423,6.8063835533237755,2.2770541800286477,1.2477794793261867,1.0,1.0,0.3948597667549246,1.0714548238897397
UP000000625_83333_ECOLI_v6_pdb,E. coli AFDB,lahuta,Lahuta,4370,10,7.573436407133333,0.1938044696847842,577.0167946328759,1.733051809412662,192.19270833333334,6.215536491744565,3.0022824468039393,8.681538416484889,1.7176375035487,1.1040351209994308,0.7543243892102252,0.8847998699222244,0.29785235238110047,0.9480230888051814
UP000000625_83333_ECOLI_v6_pdb,E. coli AFDB,lahuta_bitmask,Lahuta bitmask,4370,10,2.2557658494733333,0.06656772835921748,1937.2578058224835,0.5161935582318841,182.203125,1.299038105676658,10.63240713254772,7.88742145266867,5.766741440238793,1.1645656461709974,2.532544675843524,0.9333104650830404,1.0,1.0
UP000005640_9606_HUMAN_v6_cif,UP000005640_9606_HUMAN_v6_cif,zsasa_generic_read,zsasa generic/read,23586,10,16.183646964673333,0.043804497578665634,1457.3970905003664,0.6861547937197208,125.421875,0.08118988160479113,11.619959361159019,9.520461038416919,,,,,0.9999194992647303,2.7243469955566626
UP000005640_9606_HUMAN_v6_cif,UP000005640_9606_HUMAN_v6_cif,zsasa_generic_mmap,zsasa generic/mmap,23586,10,16.564042508666663,0.3016792539559057,1423.9277632654769,0.7022828164447834,126.48958333333333,0.3067173305069887,11.257272936958394,9.28623480205306,,,,,0.9769562086505381,2.7013505723462075
