dataset_id,input_format,structure_id,structure_role,n_atoms,expected_chains,variant,display_name,threads,bitmask_variant,runtime_mean_s,runtime_stddev_s,structures_per_sec,atoms_per_sec,peak_rss_mean_mib,peak_rss_stddev_mib,parse_time_ms,sasa_time_ms,total_time_ms,cpu_utilization_proxy,runtime_speedup_vs_freesasa,rss_reduction_vs_freesasa,runtime_speedup_vs_rustsasa,rss_reduction_vs_rustsasa,runtime_speedup_vs_pdbtools_jl,rss_reduction_vs_pdbtools_jl
single_file_large_structure_mmcif_subset,mmCIF,AF-P49792-F10-model_v6,single-medium,10919,1,zsasa_f64,zsasa f64,10,,0.06016177413333334,0.06288113471771241,16.621850243042253,181493.98280377837,6.536458333333333,0.009021097956087904,3.9,6.71,10.61,0.5761469055613354,1.2423797648378747,10.204780876494024,0.5419998571584678,4.560956175298805,31.750442961892617,71.21673306772908
single_file_large_structure_mmcif_subset,mmCIF,AF-P49792-F10-model_v6,single-medium,10919,1,zsasa_f32,zsasa f32,10,,0.020070469500000004,0.0008423174034406501,49.824444814307896,544033.112927428,6.484375,0.0,3.92,6.48,10.4,1.7073913824819424,3.7240668834378785,10.286746987951807,1.6246592032471718,4.597590361445783,95.17280988900964,71.78875502008032
single_file_large_structure_mmcif_subset,mmCIF,AF-P49792-F10-model_v6,single-medium,10919,1,zsasa_bitmask_f64,zsasa bitmask f64,10,,0.030780947740000005,0.0010170156522841718,32.487628660650195,354732.4173456395,8.890625,0.0,3.92,17.88,21.8,0.947413756706288,2.4282478704471493,7.502636203866432,1.0593459714787412,3.353251318101933,62.056665514051076,52.35910954891622
single_file_large_structure_mmcif_subset,mmCIF,AF-P49792-F10-model_v6,single-medium,10919,1,zsasa_bitmask_f32,zsasa bitmask f32,10,,0.03194790500666667,0.0014031292483282993,31.30095697327655,341775.14919120667,8.421875,0.0,3.87,17.84,21.71,0.9165306246911377,2.3395515538312446,7.920222634508349,1.0206513691543255,3.5398886827458256,59.78992918966257,55.27334570191713
single_file_large_structure_mmcif_subset,mmCIF,AF-P49792-F10-model_v6,single-medium,10919,1,freesasa,FreeSASA,10,,0.07474377080000001,0.03091431328541464,13.379041347483097,146085.75247316796,66.703125,0.0,39.65,12.68,52.32,1.0248276993093137,1.0,1.0,0.43625940513382105,0.44694307800421645,25.556149464520544,6.978761614741938
single_file_large_structure_mmcif_subset,mmCIF,AF-P49792-F10-model_v6,single-medium,10919,1,rustsasa,RustSASA,10,,0.03260767298666667,0.000427162786354728,30.6676284569249,334859.83512116293,29.8125,0.0,15.46,11.85,27.31,1.304862816104607,2.2922141923639527,2.2374213836477987,1.0,1.0,58.58016850474842,15.614430468204052
single_file_large_structure_mmcif_subset,mmCIF,AF-P49792-F10-model_v6,single-medium,10919,1,pdbtools_jl,PDBTools.jl,10,,1.9101629781066667,0.0025082302011170516,0.5235155384443633,5716.266164274002,465.5052083333333,0.009021097956087904,16.543917,6.0138750000000005,22.315792000000002,1.5421747605291691,0.03912952541572408,0.14329189836311357,0.01707062348103252,0.06404332210747732,1.0,1.0
single_file_large_structure_subset,PDB,AF-P49792-F10-model_v6,single-medium,10919,1,zsasa_f64,zsasa f64,10,,0.013658539533333333,0.0003878481519516812,73.2142699122058,799426.613171375,6.484375,0.0,1.85,6.67,8.52,2.349554766697287,1.909637854741258,7.151807228915662,1.506577865306468,2.689156626506024,101.32464391788339,66.82409638554216
single_file_large_structure_subset,PDB,AF-P49792-F10-model_v6,single-medium,10919,1,zsasa_f32,zsasa f32,10,,0.018299059779999998,0.0012883611721838713,54.64761643617081,596697.3238665491,6.484375,0.0,1.82,6.39,8.21,1.774893740833862,1.4253663547151565,7.151807228915662,1.1245197065164916,2.689156626506024,75.6293859516171,66.82409638554216
single_file_large_structure_subset,PDB,AF-P49792-F10-model_v6,single-medium,10919,1,zsasa_bitmask_f64,zsasa bitmask f64,10,,0.029680286393333335,0.003307508509883128,33.69239726152426,367887.28569858347,7.697916666666667,0.03608439182435161,1.84,17.9,19.74,0.9237945450831395,0.8787942200986294,6.024357239512855,0.6933104708165957,2.2652232746955345,46.62848047733763,56.28958051420839
single_file_large_structure_subset,PDB,AF-P49792-F10-model_v6,single-medium,10919,1,zsasa_bitmask_f32,zsasa bitmask f32,10,,0.028506617246666668,0.0008539767187607267,35.07957437906568,383033.8726450182,7.25,0.0,1.85,17.77,19.63,0.9493900930375956,0.9149757723843313,6.396551724137931,0.7218553206532956,2.4051724137931036,48.54825960857073,59.76724137931034
single_file_large_structure_subset,PDB,AF-P49792-F10-model_v6,single-medium,10919,1,freesasa,FreeSASA,10,,0.02608286413333333,0.0005824177259255875,38.33934781426177,418627.3387839243,46.375,0.015625,8.06,12.97,21.03,1.745675874931138,1.0,1.0,0.7889338083479698,0.37601078167115903,53.05961214913816,9.34366576819407
single_file_large_structure_subset,PDB,AF-P49792-F10-model_v6,single-medium,10919,1,rustsasa,RustSASA,10,,0.020577653333333334,0.0012208335317709504,48.5964061985688,530624.1592821727,17.4375,0.0,3.52,12.31,15.82,1.4338376128408552,1.2675334602455477,2.6594982078853047,1.0,1.0,67.2548337866838,24.849462365591396
single_file_large_structure_subset,PDB,AF-P49792-F10-model_v6,single-medium,10919,1,pdbtools_jl,PDBTools.jl,10,,1.3839466546533332,0.0065712208049168086,0.7225712036209166,7889.754972336788,433.3125,0.15857643070456592,15.220166,5.818458000000001,21.051750000000002,1.6398009362351211,0.0188467265307035,0.10702437617193135,0.014868819736760634,0.040242319342276074,1.0,1.0
single_file_large_structure_mmcif_subset,mmCIF,AF-0000000066638622,multi-medium-nvda,14618,2,zsasa_f64,zsasa f64,10,,0.02381453410666667,0.0001871206883279715,41.99116369528551,613826.8308976835,9.59375,0.0,4.45,11.84,16.29,2.1237254991763685,,,1.8584255721779508,3.179153094462541,73.40392838438832,47.47014115092291
single_file_large_structure_mmcif_subset,mmCIF,AF-0000000066638622,multi-medium-nvda,14618,2,zsasa_f32,zsasa f32,10,,0.024445246533333336,0.00014775705328793476,40.90774861429228,597989.4692437246,9.609375,0.0,4.37,11.75,16.12,2.0515257747533506,,,1.8104762867899131,3.1739837398373982,71.51003176383047,47.392953929539296
single_file_large_structure_mmcif_subset,mmCIF,AF-0000000066638622,multi-medium-nvda,14618,2,zsasa_bitmask_f64,zsasa bitmask f64,10,,0.033700727793333336,0.0003036802116064406,29.672949680268317,433759.1784261623,11.890625,0.0,4.32,22.21,26.53,1.0520320772918208,,,1.3132517328628237,2.565045992115637,51.87070044282955,38.300481822163825
single_file_large_structure_mmcif_subset,mmCIF,AF-0000000066638622,multi-medium-nvda,14618,2,zsasa_bitmask_f32,zsasa bitmask f32,10,,0.034760275086666674,0.00023069644513154644,28.76847198437677,420537.5234676196,11.953125,0.0,4.26,22.33,26.59,1.0340660397646722,,,1.2732217758054973,2.5516339869281044,50.289600750135065,38.10021786492375
single_file_large_structure_mmcif_subset,mmCIF,AF-0000000066638622,multi-medium-nvda,14618,2,rustsasa,RustSASA,10,,0.04425753917333333,0.0003978607558107906,22.59502038926136,330294.00805022253,30.5,0.0,17.46,21.47,38.93,1.2984275163064511,,,1.0,1.0,39.49791128754423,14.93169398907104
single_file_large_structure_mmcif_subset,mmCIF,AF-0000000066638622,multi-medium-nvda,14618,2,pdbtools_jl,PDBTools.jl,10,,1.7480803560733336,0.009792800616105438,0.5720560822766028,8362.31581071938,455.4166666666667,0.009021097956087904,17.539917,9.145208,26.639708,1.5596101921333119,,,0.025317794470700344,0.06697163769441902,1.0,1.0
single_file_large_structure_subset,PDB,AF-0000000066638622,multi-medium-nvda,14618,2,zsasa_f64,zsasa f64,10,,0.021412837199999996,0.00017215206752171206,46.70095749852337,682674.5967134146,8.0,0.0,2.69,12.97,15.66,2.3088981407844456,1.6372277675873181,7.68359375,1.4333557460568565,2.705078125,65.05674836681615,55.138671875
single_file_large_structure_subset,PDB,AF-0000000066638622,multi-medium-nvda,14618,2,zsasa_f32,zsasa f32,10,,0.02196707057333333,0.0008394418784503985,45.52268344846756,665450.5866496988,7.984375,0.0,2.6,11.63,14.23,2.2030038023707523,1.5959201992651924,7.698630136986301,1.397191907657385,2.710371819960861,63.41535421801194,55.24657534246575
single_file_large_structure_subset,PDB,AF-0000000066638622,multi-medium-nvda,14618,2,zsasa_bitmask_f64,zsasa bitmask f64,10,,0.03333072281333334,4.789136221004046e-05,30.002349652014402,438574.34721314657,10.359375,0.0,2.65,22.07,24.72,1.0414959653814264,1.051813122775798,5.933634992458522,0.9208385132206659,2.0889894419306185,41.79476002790843,42.580693815987935
single_file_large_structure_subset,PDB,AF-0000000066638622,multi-medium-nvda,14618,2,zsasa_bitmask_f32,zsasa bitmask f32,10,,0.032492751066666666,0.0005592335346010049,30.776095195764135,449884.95957168017,10.302083333333334,0.009021097956087902,2.6,21.94,24.54,1.0529546501967886,1.0789388554615587,5.966632962588473,0.9445864764429325,2.100606673407482,42.87262591837253,42.817492416582404
single_file_large_structure_subset,PDB,AF-0000000066638622,multi-medium-nvda,14618,2,freesasa,FreeSASA,10,,0.035057691646666674,0.00026940106295695107,28.52441085050964,416969.8378127499,61.46875,0.0,10.86,19.83,30.69,1.8423492905436198,1.0,1.0,0.8754773003692117,0.35205897305541434,39.735918028489266,7.1761565836298935
single_file_large_structure_subset,PDB,AF-0000000066638622,multi-medium-nvda,14618,2,rustsasa,RustSASA,10,,0.030692213240000002,0.00036780346090269545,32.581553900346876,476277.15491527057,21.640625,0.0,4.77,21.98,26.75,1.4320863619804562,1.1422340700076106,2.84043321299639,1.0,1.0,45.38771937517008,20.383393501805052
single_file_large_structure_subset,PDB,AF-0000000066638622,multi-medium-nvda,14618,2,pdbtools_jl,PDBTools.jl,10,,1.3930495615399998,0.002537910069474695,0.7178495493688766,10493.524712674238,441.109375,0.0,20.270291,9.309083,29.304833,1.6445762184278299,0.0251661481504727,0.13935035953384578,0.02203239144346747,0.04905954447238851,1.0,1.0
single_file_large_structure_mmcif_subset,mmCIF,AF-Q6ZS30-F1-model_v6,single-large,21611,1,zsasa_f64,zsasa f64,10,,0.034242954846666666,0.0013066379957916217,29.203087305923415,631107.919768311,9.276041666666666,0.018042195912175808,7.43,17.27,24.7,2.1192088608672552,3.2655247440156323,14.0078607523863,2.0452014704999684,7.309376754632229,56.688295705171235,51.92981471083661
single_file_large_structure_mmcif_subset,mmCIF,AF-Q6ZS30-F1-model_v6,single-large,21611,1,zsasa_f32,zsasa f32,10,,0.03311465150666667,0.0008611026715330388,30.19811335772865,652611.4277738739,9.291666666666666,0.009021097956087902,7.43,17.09,24.51,2.159794635080729,3.376789767438382,13.984304932735427,2.1148868679039983,7.297085201793722,58.61981515269359,51.84248878923767
single_file_large_structure_mmcif_subset,mmCIF,AF-Q6ZS30-F1-model_v6,single-large,21611,1,zsasa_bitmask_f64,zsasa bitmask f64,10,,0.04261941673333334,0.0006119230319021593,23.463483938715747,507069.351399586,12.234375,0.0,7.56,26.04,33.6,1.0523568075546836,2.623715314070519,10.620689655172415,1.6432355713561926,5.541932737335036,45.54672257277613,39.372924648786714
single_file_large_structure_mmcif_subset,mmCIF,AF-Q6ZS30-F1-model_v6,single-large,21611,1,zsasa_bitmask_f32,zsasa bitmask f32,10,,0.06074357032,0.031005131120227365,16.4626477293309,355774.2800785701,11.848958333333334,0.018042195912175808,7.5,26.09,33.58,0.75737453513143,1.8408732935999739,10.966153846153846,1.1529408172375384,5.722197802197802,31.956876093065752,40.65362637362637
single_file_large_structure_mmcif_subset,mmCIF,AF-Q6ZS30-F1-model_v6,single-large,21611,1,freesasa,FreeSASA,10,,0.11182121636000002,0.0013198724124751594,8.94284673831999,193263.8608618333,129.9375,0.0,74.74,29.51,104.25,1.3831969611984523,1.0,1.0,0.6263010176995241,0.5218053551386884,17.359628283037093,3.7071909571909574
single_file_large_structure_mmcif_subset,mmCIF,AF-Q6ZS30-F1-model_v6,single-large,21611,1,rustsasa,RustSASA,10,,0.07003374160666669,0.0004631730718342076,14.278831561168618,308579.828868415,67.80208333333333,0.04510548978043951,32.4,31.24,63.64,1.2528889359189597,1.5966763133694328,1.9164234137348288,1.0,1.0,27.7177072884234,7.104547549546782
single_file_large_structure_mmcif_subset,mmCIF,AF-Q6ZS30-F1-model_v6,single-large,21611,1,pdbtools_jl,PDBTools.jl,10,,1.9411747501666665,0.004887961117075987,0.5151519717192599,11132.949260824926,481.703125,0.0,32.357333000000004,13.665750000000001,46.163416999999995,1.5603220814646457,0.05760492008789997,0.269746018359337,0.03607802007555151,0.140754916907241,1.0,1.0
single_file_large_structure_subset,PDB,AF-Q6ZS30-F1-model_v6,single-large,21611,1,zsasa_f64,zsasa f64,10,,0.02740284702,0.0006066166977400132,36.49255857503233,788640.6833650236,9.890625,0.015625,3.67,17.18,20.84,2.5056817374931772,1.8407834247971024,9.067930489731438,1.5453276942024836,2.9652448657187995,51.56354300833763,45.824644549763036
