dataset_id,input_format,structure_id,structure_role,n_atoms,expected_chains,variant,display_name,threads,runtime_mean_s,runtime_stddev_s,peak_rss_mean_mib,peak_rss_stddev_mib,atoms_per_sec,cpu_utilization_proxy,speedup_vs_1_thread,parallel_efficiency
single_file_large_structure_mmcif_subset,mmCIF,AF-P49792-F10-model_v6,single-medium,10919,1,rustsasa,RustSASA,1,0.04154055596666667,0.0007832108820722127,28.5,0.0,262851.5614659014,0.8723677176848311,1.0,1.0
single_file_large_structure_mmcif_subset,mmCIF,AF-P49792-F10-model_v6,single-medium,10919,1,rustsasa,RustSASA,4,0.03462356915333333,0.0016188990114341063,28.9375,0.0,315363.2126036547,1.0857954350934966,1.1997768278221372,0.2999442069555343
single_file_large_structure_mmcif_subset,mmCIF,AF-P49792-F10-model_v6,single-medium,10919,1,rustsasa,RustSASA,8,0.03399153278000001,0.00156489639541696,29.53125,0.0,321227.05588682776,1.2007519715031807,1.2220854009592756,0.15276067511990946
single_file_large_structure_mmcif_subset,mmCIF,AF-P49792-F10-model_v6,single-medium,10919,1,rustsasa,RustSASA,10,0.07807931644,0.015256245725103567,29.828125,0.0,139844.97428830204,0.576509316240286,0.532030220815118,0.0532030220815118
single_file_large_structure_mmcif_subset,mmCIF,AF-P49792-F10-model_v6,single-medium,10919,1,pdbtools_jl,PDBTools.jl,1,2.0155136704600003,0.031379627069448336,468.15625,0.0,5417.477519518862,1.3336498313371332,1.0,1.0
single_file_large_structure_mmcif_subset,mmCIF,AF-P49792-F10-model_v6,single-medium,10919,1,pdbtools_jl,PDBTools.jl,4,1.898087849906667,0.006997961312239597,461.5572916666667,0.15335866525349434,5752.63152363412,1.5176336192631856,1.06186532438902,0.265466331097255
single_file_large_structure_mmcif_subset,mmCIF,AF-P49792-F10-model_v6,single-medium,10919,1,pdbtools_jl,PDBTools.jl,8,1.9032118662933335,0.011342303545854214,466.359375,0.0,5737.14371656671,1.5363271417392532,1.0590064648899988,0.13237580811124985
single_file_large_structure_mmcif_subset,mmCIF,AF-P49792-F10-model_v6,single-medium,10919,1,pdbtools_jl,PDBTools.jl,10,1.9062428151933333,0.021514286828838727,466.859375,0.0,5728.021589365352,1.5424209426865687,1.0573226319311186,0.10573226319311187
single_file_large_structure_subset,PDB,AF-P49792-F10-model_v6,single-medium,10919,1,zsasa_f64,zsasa f64,1,0.04656811969333333,0.030799236487314852,6.484375,0.0,234473.71446185227,0.5588618745624898,1.0,1.0
single_file_large_structure_subset,PDB,AF-P49792-F10-model_v6,single-medium,10919,1,zsasa_f64,zsasa f64,4,0.03627445522666667,0.030996723690011517,6.484375,0.0,301010.7231596147,0.7536971447950165,1.2837717176548917,0.32094292941372293
single_file_large_structure_subset,PDB,AF-P49792-F10-model_v6,single-medium,10919,1,zsasa_f64,zsasa f64,8,0.03584488597333333,0.03316379180510839,6.484375,0.0,304618.07043055317,0.905319288525803,1.2991565861857537,0.1623945732732192
single_file_large_structure_subset,PDB,AF-P49792-F10-model_v6,single-medium,10919,1,zsasa_f64,zsasa f64,10,0.013658539533333333,0.0003878481519516812,6.484375,0.0,799426.613171375,2.349554766697287,3.4094508845316125,0.34094508845316124
single_file_large_structure_subset,PDB,AF-P49792-F10-model_v6,single-medium,10919,1,zsasa_f32,zsasa f32,1,0.028553201786666666,0.0016917695568682927,6.46875,0.0,382408.95299870666,0.8860377033144903,1.0,1.0
single_file_large_structure_subset,PDB,AF-P49792-F10-model_v6,single-medium,10919,1,zsasa_f32,zsasa f32,4,0.020511319853333335,0.0007062678283429967,6.46875,0.0,532340.1944914594,1.2887651073822752,1.3920704270050388,0.3480176067512597
single_file_large_structure_subset,PDB,AF-P49792-F10-model_v6,single-medium,10919,1,zsasa_f32,zsasa f32,8,0.018110630666666665,0.0009632198429498505,6.484375,0.0,602905.5641942306,1.6906269341770759,1.5765989772636668,0.19707487215795835
single_file_large_structure_subset,PDB,AF-P49792-F10-model_v6,single-medium,10919,1,zsasa_f32,zsasa f32,10,0.018299059779999998,0.0012883611721838713,6.484375,0.0,596697.3238665491,1.774893740833862,1.560364419262347,0.1560364419262347
single_file_large_structure_subset,PDB,AF-P49792-F10-model_v6,single-medium,10919,1,zsasa_bitmask_f64,zsasa bitmask f64,1,0.02927621756666667,0.0016530191784950147,7.6875,0.0,372964.84681245714,0.8807783977312451,1.0,1.0
single_file_large_structure_subset,PDB,AF-P49792-F10-model_v6,single-medium,10919,1,zsasa_bitmask_f64,zsasa bitmask f64,4,0.03006797752,0.0018714738384863945,7.6875,0.0,363143.8128067351,0.8732448549025875,0.9736676684420599,0.24341691711051497
single_file_large_structure_subset,PDB,AF-P49792-F10-model_v6,single-medium,10919,1,zsasa_bitmask_f64,zsasa bitmask f64,8,0.02966211432,0.0013162923371018323,7.703125,0.0,368112.6666226132,0.9122112146634507,0.9869902479246688,0.1233737809905836
single_file_large_structure_subset,PDB,AF-P49792-F10-model_v6,single-medium,10919,1,zsasa_bitmask_f64,zsasa bitmask f64,10,0.029680286393333335,0.003307508509883128,7.697916666666667,0.03608439182435161,367887.28569858347,0.9237945450831395,0.9863859525709487,0.09863859525709487
single_file_large_structure_subset,PDB,AF-P49792-F10-model_v6,single-medium,10919,1,zsasa_bitmask_f32,zsasa bitmask f32,1,0.03039230956,0.0008836229205611394,7.171875,0.0,359268.51753217005,0.8418800798763646,1.0,1.0
single_file_large_structure_subset,PDB,AF-P49792-F10-model_v6,single-medium,10919,1,zsasa_bitmask_f32,zsasa bitmask f32,4,0.028681394280000005,0.0010173537350125588,7.192708333333333,0.009021097956087904,380699.76282896375,0.9041952335658904,1.0596524444836017,0.26491311112090044
single_file_large_structure_subset,PDB,AF-P49792-F10-model_v6,single-medium,10919,1,zsasa_bitmask_f32,zsasa bitmask f32,8,0.0288592834,0.0008845088676565112,7.182291666666667,0.009021097956087904,378353.1229330524,0.9292187298963447,1.0531207285625117,0.13164009107031396
single_file_large_structure_subset,PDB,AF-P49792-F10-model_v6,single-medium,10919,1,zsasa_bitmask_f32,zsasa bitmask f32,10,0.028506617246666668,0.0008539767187607267,7.25,0.0,383033.8726450182,0.9493900930375956,1.0661492837616091,0.1066149283761609
single_file_large_structure_subset,PDB,AF-P49792-F10-model_v6,single-medium,10919,1,freesasa,FreeSASA,1,0.04009970333333334,0.0009453233445347342,46.359375,0.0,272296.2788336505,0.9660608461691857,1.0,1.0
single_file_large_structure_subset,PDB,AF-P49792-F10-model_v6,single-medium,10919,1,freesasa,FreeSASA,4,0.02788379350666667,0.0007812661077036009,46.375,0.0,391589.47283802694,1.431514928452014,1.4381007133676411,0.3595251783419103
single_file_large_structure_subset,PDB,AF-P49792-F10-model_v6,single-medium,10919,1,freesasa,FreeSASA,8,0.02607526280666667,0.00025455115113928256,46.375,0.0,418749.37487526826,1.6785796941412279,1.5378446472677942,0.19223058090847428
single_file_large_structure_subset,PDB,AF-P49792-F10-model_v6,single-medium,10919,1,freesasa,FreeSASA,10,0.02608286413333333,0.0005824177259255875,46.375,0.015625,418627.3387839243,1.745675874931138,1.537396473345379,0.1537396473345379
single_file_large_structure_subset,PDB,AF-P49792-F10-model_v6,single-medium,10919,1,rustsasa,RustSASA,1,0.02593224364,0.0008244916602907525,16.15625,0.0,421058.8235858484,0.9110894399005935,1.0,1.0
single_file_large_structure_subset,PDB,AF-P49792-F10-model_v6,single-medium,10919,1,rustsasa,RustSASA,4,0.019793836633333336,0.0011521297112306132,16.578125,0.0,551636.360462434,1.2300367593044308,1.31011708949489,0.3275292723737225
single_file_large_structure_subset,PDB,AF-P49792-F10-model_v6,single-medium,10919,1,rustsasa,RustSASA,8,0.01945830758666667,0.00010511273518148655,17.088541666666668,0.009021097956087904,561148.4941003799,1.4347595857958095,1.3327080746616133,0.16658850933270167
single_file_large_structure_subset,PDB,AF-P49792-F10-model_v6,single-medium,10919,1,rustsasa,RustSASA,10,0.020577653333333334,0.0012208335317709504,17.4375,0.0,530624.1592821727,1.4338376128408552,1.2602138455696925,0.12602138455696926
single_file_large_structure_subset,PDB,AF-P49792-F10-model_v6,single-medium,10919,1,pdbtools_jl,PDBTools.jl,1,1.4418966462866667,0.009636171199603093,421.484375,0.0,7572.664814860225,1.4701119705486627,1.0,1.0
single_file_large_structure_subset,PDB,AF-P49792-F10-model_v6,single-medium,10919,1,pdbtools_jl,PDBTools.jl,4,1.43140603154,0.02972519799101036,426.9583333333333,0.47811819167265884,7628.164028520006,1.6101006627172338,1.007328888180931,0.25183222204523276
single_file_large_structure_subset,PDB,AF-P49792-F10-model_v6,single-medium,10919,1,pdbtools_jl,PDBTools.jl,8,1.37372290532,0.03879262781804024,431.140625,0.0,7948.4734204504575,1.6603797737035948,1.049626995882977,0.13120337448537212
single_file_large_structure_subset,PDB,AF-P49792-F10-model_v6,single-medium,10919,1,pdbtools_jl,PDBTools.jl,10,1.3839466546533332,0.0065712208049168086,433.3125,0.15857643070456592,7889.754972336788,1.6398009362351211,1.0418729952043198,0.10418729952043197
single_file_large_structure_mmcif_subset,mmCIF,AF-0000000066638622,multi-medium-nvda,14618,2,zsasa_f64,zsasa f64,1,0.04264637153333334,0.0006350181871996548,9.578125,0.0,342772.42059325613,0.9449124325892435,1.0,1.0
single_file_large_structure_mmcif_subset,mmCIF,AF-0000000066638622,multi-medium-nvda,14618,2,zsasa_f64,zsasa f64,4,0.026697536773333336,0.0006608675000030904,9.572916666666666,0.009021097956087902,547541.1504855045,1.5547481784209627,1.5973897478036398,0.39934743695090996
single_file_large_structure_mmcif_subset,mmCIF,AF-0000000066638622,multi-medium-nvda,14618,2,zsasa_f64,zsasa f64,8,0.025416768760000003,0.0010056760004056977,9.59375,0.0,575132.1160463671,1.904476809138923,1.677883287841398,0.20973541098017476
single_file_large_structure_mmcif_subset,mmCIF,AF-0000000066638622,multi-medium-nvda,14618,2,zsasa_f64,zsasa f64,10,0.02381453410666667,0.0001871206883279715,9.59375,0.0,613826.8308976835,2.1237254991763685,1.7907707680661642,0.17907707680661641
single_file_large_structure_mmcif_subset,mmCIF,AF-0000000066638622,multi-medium-nvda,14618,2,zsasa_f32,zsasa f32,1,0.04431492004666667,0.0016693315735564157,9.578125,0.0,329866.3290965263,0.9088228815694938,1.0,1.0
single_file_large_structure_mmcif_subset,mmCIF,AF-0000000066638622,multi-medium-nvda,14618,2,zsasa_f32,zsasa f32,4,0.026596856240000005,0.0006575596780619991,9.598958333333334,0.009021097956087902,549613.8290966676,1.5441484122310436,1.6661713567492917,0.41654283918732293
single_file_large_structure_mmcif_subset,mmCIF,AF-0000000066638622,multi-medium-nvda,14618,2,zsasa_f32,zsasa f32,8,0.025256237673333338,0.0006389056887384348,9.59375,0.0,578787.7113396956,1.9061215935115272,1.754612884937187,0.21932661061714837
single_file_large_structure_mmcif_subset,mmCIF,AF-0000000066638622,multi-medium-nvda,14618,2,zsasa_f32,zsasa f32,10,0.024445246533333336,0.00014775705328793476,9.609375,0.0,597989.4692437246,2.0515257747533506,1.8128236091315018,0.18128236091315017
single_file_large_structure_mmcif_subset,mmCIF,AF-0000000066638622,multi-medium-nvda,14618,2,zsasa_bitmask_f64,zsasa bitmask f64,1,0.03647012993333334,0.00030956577043066933,11.796875,0.0,400821.1658889455,0.924085913456822,1.0,1.0
single_file_large_structure_mmcif_subset,mmCIF,AF-0000000066638622,multi-medium-nvda,14618,2,zsasa_bitmask_f64,zsasa bitmask f64,4,0.03419293550666667,0.0003414197582102324,11.84375,0.0,427515.2098932804,0.9877453582991832,1.0665983891971687,0.26664959729929216
single_file_large_structure_mmcif_subset,mmCIF,AF-0000000066638622,multi-medium-nvda,14618,2,zsasa_bitmask_f64,zsasa bitmask f64,8,0.03429669950000001,0.000168506261355474,11.838541666666666,0.009021097956087902,426221.77098994603,1.033428498467226,1.0633714166383075,0.13292142707978843
single_file_large_structure_mmcif_subset,mmCIF,AF-0000000066638622,multi-medium-nvda,14618,2,zsasa_bitmask_f64,zsasa bitmask f64,10,0.033700727793333336,0.0003036802116064406,11.890625,0.0,433759.1784261623,1.0520320772918208,1.0821763303446474,0.10821763303446474
single_file_large_structure_mmcif_subset,mmCIF,AF-0000000066638622,multi-medium-nvda,14618,2,zsasa_bitmask_f32,zsasa bitmask f32,1,0.03766955360666668,0.004444764389177039,11.838541666666666,0.009021097956087902,388058.7530353144,0.8868976879536832,1.0,1.0
single_file_large_structure_mmcif_subset,mmCIF,AF-0000000066638622,multi-medium-nvda,14618,2,zsasa_bitmask_f32,zsasa bitmask f32,4,0.03481921374,8.579458165292272e-05,11.838541666666666,0.009021097956087902,419825.67754558375,0.9714925477425979,1.081861120930259,0.2704652802325648
single_file_large_structure_mmcif_subset,mmCIF,AF-0000000066638622,multi-medium-nvda,14618,2,zsasa_bitmask_f32,zsasa bitmask f32,8,0.037059984920000004,0.0020821498392586935,11.854166666666666,0.009021097956087902,394441.6068046257,0.9571763204052592,1.0164481633757414,0.12705602042196767
single_file_large_structure_mmcif_subset,mmCIF,AF-0000000066638622,multi-medium-nvda,14618,2,zsasa_bitmask_f32,zsasa bitmask f32,10,0.034760275086666674,0.00023069644513154644,11.953125,0.0,420537.5234676196,1.0340660397646722,1.0836954975973692,0.10836954975973692
single_file_large_structure_mmcif_subset,mmCIF,AF-0000000066638622,multi-medium-nvda,14618,2,rustsasa,RustSASA,1,0.05323022709333334,0.00046129616169694726,28.84375,0.0,274618.40383226145,0.9538958615431612,1.0,1.0
single_file_large_structure_mmcif_subset,mmCIF,AF-0000000066638622,multi-medium-nvda,14618,2,rustsasa,RustSASA,4,0.04531200074666667,0.0004540309449347413,29.28125,0.0,322607.6924240728,1.1279067905005942,1.1747489895874696,0.2936872473968674
single_file_large_structure_mmcif_subset,mmCIF,AF-0000000066638622,multi-medium-nvda,14618,2,rustsasa,RustSASA,8,0.04491815185333334,0.0002421744785197949,29.859375,0.0,325436.3636271293,1.2411041943287264,1.185049359714099,0.14813116996426237
single_file_large_structure_mmcif_subset,mmCIF,AF-0000000066638622,multi-medium-nvda,14618,2,rustsasa,RustSASA,10,0.04425753917333333,0.0003978607558107906,30.5,0.0,330294.00805022253,1.2984275163064511,1.2027380664988792,0.12027380664988792
single_file_large_structure_mmcif_subset,mmCIF,AF-0000000066638622,multi-medium-nvda,14618,2,pdbtools_jl,PDBTools.jl,1,1.87357574204,0.006674033226736852,453.65625,0.8389621099161749,7802.193245779071,1.3580224929842621,1.0,1.0
single_file_large_structure_mmcif_subset,mmCIF,AF-0000000066638622,multi-medium-nvda,14618,2,pdbtools_jl,PDBTools.jl,4,1.7490545288933335,0.002662644813990832,447.640625,0.0,8357.658242507248,1.5279148872643928,1.0711934425654837,0.2677983606413709
